Model,training_time,testing_time,train_size,test_size,accuracy,precison,f1,recall
shard_6_model_B4_20s,0.346,0.167,22159,9498,0.75,0.747,0.747,0.75
shard_7_model_B4_20s,0.355,0.167,22159,9498,0.761,0.757,0.758,0.761
shard_8_model_B4_20s,0.35,0.167,22159,9498,0.755,0.753,0.753,0.755
shard_9_model_B4_20s,0.363,0.166,22159,9498,0.743,0.741,0.741,0.743
shard_10_model_B4_20s,0.343,0.167,22159,9498,0.752,0.753,0.751,0.752
shard_11_model_B4_20s,0.358,0.168,22159,9498,0.753,0.751,0.752,0.753
shard_12_model_B4_20s,0.359,0.167,22159,9498,0.75,0.749,0.749,0.75
shard_13_model_B4_20s,0.353,0.167,22159,9498,0.745,0.744,0.743,0.745
shard_14_model_B4_20s,0.353,0.167,22159,9498,0.747,0.747,0.746,0.747
shard_15_model_B4_20s,0.348,0.167,22159,9498,0.748,0.747,0.746,0.748
shard_16_model_B4_20s,0.349,0.166,22159,9498,0.753,0.752,0.751,0.753
shard_17_model_B4_20s,0.346,0.168,22159,9498,0.742,0.74,0.74,0.742
shard_18_model_B4_20s,0.353,0.167,22159,9498,0.747,0.745,0.745,0.747
shard_19_model_B4_20s,0.367,0.168,22159,9498,0.741,0.741,0.74,0.741
,,,,,,,,
model_20_shards,1.67,0.275,22159,9498,0.759,0.755,0.757,0.759
,,,,,,,,
shard_0_model_B4_25s,0.3,0.134,17728,7598,0.753,0.75,0.75,0.753
shard_1_model_B4_25s,0.299,0.134,17728,7598,0.752,0.75,0.75,0.752
shard_2_model_B4_25s,0.296,0.135,17728,7598,0.756,0.755,0.754,0.756
shard_3_model_B4_25s,0.298,0.134,17728,7598,0.746,0.743,0.743,0.746
shard_4_model_B4_25s,0.293,0.135,17728,7598,0.754,0.753,0.753,0.754
shard_5_model_B4_25s,0.299,0.134,17728,7598,0.756,0.752,0.753,0.756
shard_6_model_B4_25s,0.303,0.195,17728,7598,0.747,0.747,0.746,0.747
shard_7_model_B4_25s,0.302,0.135,17728,7598,0.75,0.746,0.747,0.75
shard_8_model_B4_25s,0.283,0.135,17728,7598,0.757,0.753,0.754,0.757
shard_9_model_B4_25s,0.284,0.134,17728,7598,0.756,0.754,0.754,0.756
shard_10_model_B4_25s,0.293,0.134,17728,7598,0.75,0.748,0.748,0.75
shard_11_model_B4_25s,0.302,0.135,17728,7598,0.75,0.751,0.748,0.75
shard_12_model_B4_25s,0.299,0.135,17728,7598,0.751,0.752,0.751,0.751
shard_13_model_B4_25s,0.297,0.135,17728,7598,0.753,0.749,0.75,0.753
shard_14_model_B4_25s,0.3,0.136,17728,7598,0.75,0.747,0.747,0.75
shard_15_model_B4_25s,0.303,0.135,17727,7598,0.747,0.744,0.745,0.747
shard_16_model_B4_25s,0.306,0.135,17727,7598,0.748,0.747,0.747,0.748
shard_17_model_B4_25s,0.292,0.136,17727,7598,0.746,0.744,0.744,0.746
shard_18_model_B4_25s,0.294,0.135,17727,7598,0.752,0.751,0.751,0.752
shard_19_model_B4_25s,0.298,0.136,17727,7598,0.75,0.746,0.747,0.75
shard_20_model_B4_25s,0.303,0.135,17727,7598,0.755,0.754,0.754,0.755
shard_21_model_B4_25s,0.299,0.135,17727,7598,0.741,0.742,0.741,0.741
shard_22_model_B4_25s,0.305,0.137,17727,7598,0.748,0.745,0.745,0.748
shard_23_model_B4_25s,0.299,0.136,17727,7598,0.756,0.754,0.754,0.756
shard_24_model_B4_25s,0.299,0.134,17727,7598,0.743,0.741,0.741,0.743
,,,,,,,,
model_25_shards,1.278,0.232,17728,7598,0.75,0.749,0.748,0.75
,,,,,,,,
shard_0_model_B4_30s,0.264,0.114,14773,6332,0.757,0.754,0.754,0.757
shard_1_model_B4_30s,0.248,0.112,14773,6332,0.751,0.749,0.749,0.751
shard_2_model_B4_30s,0.26,0.114,14773,6332,0.753,0.75,0.75,0.753
shard_3_model_B4_30s,0.267,0.113,14773,6332,0.76,0.757,0.758,0.76
shard_4_model_B4_30s,0.262,0.114,14773,6332,0.751,0.751,0.75,0.751
shard_5_model_B4_30s,0.263,0.113,14773,6332,0.768,0.766,0.765,0.768
shard_6_model_B4_30s,0.26,0.113,14773,6332,0.756,0.755,0.755,0.756
shard_7_model_B4_30s,0.265,0.113,14773,6332,0.752,0.75,0.75,0.752
shard_8_model_B4_30s,0.262,0.113,14773,6332,0.745,0.743,0.743,0.745
shard_9_model_B4_30s,0.261,0.113,14773,6332,0.749,0.742,0.744,0.749
shard_10_model_B4_30s,0.262,0.112,14773,6332,0.742,0.738,0.739,0.742
shard_11_model_B4_30s,0.262,0.112,14773,6332,0.749,0.75,0.749,0.749
shard_12_model_B4_30s,0.259,0.112,14773,6332,0.756,0.76,0.757,0.756
shard_13_model_B4_30s,0.261,0.114,14773,6332,0.741,0.739,0.739,0.741
shard_14_model_B4_30s,0.264,0.113,14773,6332,0.752,0.751,0.751,0.752
shard_15_model_B4_30s,0.259,0.113,14773,6332,0.745,0.746,0.744,0.745
shard_16_model_B4_30s,0.262,0.113,14773,6332,0.744,0.742,0.742,0.744
shard_17_model_B4_30s,0.266,0.113,14773,6332,0.758,0.761,0.757,0.758
shard_18_model_B4_30s,0.262,0.114,14773,6332,0.75,0.75,0.749,0.75
shard_19_model_B4_30s,0.258,0.112,14773,6332,0.753,0.752,0.752,0.753
shard_20_model_B4_30s,0.262,0.113,14772,6332,0.756,0.754,0.754,0.756
shard_21_model_B4_30s,0.256,0.112,14772,6332,0.734,0.73,0.731,0.734
shard_22_model_B4_30s,0.258,0.114,14772,6332,0.751,0.751,0.75,0.751
shard_23_model_B4_30s,0.259,0.112,14772,6332,0.749,0.746,0.747,0.749
shard_24_model_B4_30s,0.259,0.112,14772,6332,0.751,0.752,0.75,0.751
shard_25_model_B4_30s,0.263,0.111,14772,6332,0.749,0.744,0.745,0.749
shard_26_model_B4_30s,0.264,0.112,14772,6332,0.749,0.746,0.746,0.749
shard_27_model_B4_30s,0.263,0.113,14772,6332,0.749,0.75,0.748,0.749
shard_28_model_B4_30s,0.261,0.113,14772,6332,0.751,0.749,0.75,0.751
shard_29_model_B4_30s,0.266,0.113,14772,6332,0.746,0.745,0.745,0.746
,,,,,,,,
model_30_shards ,1.105,0.208,14773,6332,0.759,0.76,0.758,0.759
