Model, training_time, testing_time,  train_size, test_size, accuracy, precison, f1, recall
shard_14_model_B4_25s, 0.300,0.136,17728,7598,0.750,0.747,0.747,0.750
shard_15_model_B4_25s, 0.303,0.135,17727,7598,0.747,0.744,0.745,0.747
shard_16_model_B4_25s, 0.306,0.135,17727,7598,0.748,0.747,0.747,0.748
shard_17_model_B4_25s, 0.292,0.136,17727,7598,0.746,0.744,0.744,0.746
shard_18_model_B4_25s, 0.294,0.135,17727,7598,0.752,0.751,0.751,0.752
shard_19_model_B4_25s, 0.298,0.136,17727,7598,0.750,0.746,0.747,0.750
shard_20_model_B4_25s, 0.303,0.135,17727,7598,0.755,0.754,0.754,0.755
shard_21_model_B4_25s, 0.299,0.135,17727,7598,0.741,0.742,0.741,0.741
shard_22_model_B4_25s, 0.305,0.137,17727,7598,0.748,0.745,0.745,0.748
shard_23_model_B4_25s, 0.299,0.136,17727,7598,0.756,0.754,0.754,0.756
shard_24_model_B4_25s, 0.299,0.134,17727,7598,0.743,0.741,0.741,0.743

aggregated_model_B4_25s, 1.278,0.232,17728,7598,0.750,0.749,0.748,0.750

shard_0_model_B4_30s, 0.264,0.114,14773,6332,0.757,0.754,0.754,0.757
shard_1_model_B4_30s, 0.248,0.112,14773,6332,0.751,0.749,0.749,0.751
shard_2_model_B4_30s, 0.260,0.114,14773,6332,0.753,0.750,0.750,0.753
shard_3_model_B4_30s, 0.267,0.113,14773,6332,0.760,0.757,0.758,0.760
shard_4_model_B4_30s, 0.262,0.114,14773,6332,0.751,0.751,0.750,0.751
shard_5_model_B4_30s, 0.263,0.113,14773,6332,0.768,0.766,0.765,0.768
shard_6_model_B4_30s, 0.260,0.113,14773,6332,0.756,0.755,0.755,0.756
shard_7_model_B4_30s, 0.265,0.113,14773,6332,0.752,0.750,0.750,0.752
shard_8_model_B4_30s, 0.262,0.113,14773,6332,0.745,0.743,0.743,0.745
shard_9_model_B4_30s, 0.261,0.113,14773,6332,0.749,0.742,0.744,0.749
